Gender,Education Level,Loan Purpose,Employment Status,Payment History,Country,Risk Rating,Age,Income,Credit Score,Loan Amount,Debt-to-Income Ratio,Assets Value
Non-binary,High School,Business,Unemployed,Excellent,Nauru,Low,21,33894,673,20327,0.453103874,194083
Female,PhD,Business,Unemployed,Poor,Syrian Arab Republic,Low,23,25948,683.2,23262,0.398993303,155301.2
Female,Bachelor's,Personal,Employed,Excellent,Bahamas,Low,23,48572.8,794,23299,0.278350385,27803
Male,Master's,Auto,Self-employed,Poor,Eritrea,Low,56,60225,731,27281,0.294186119,295586
Male,PhD,Business,Employed,Fair,Tajikistan,Low,22,88211,662,16311,0.392060432,80913
Male,Master's,Auto,Unemployed,Fair,El Salvador,Medium,59,107750,673,36864,0.277125102,261703
Male,Master's,Home,Self-employed,Fair,Saint Helena,Low,28,113517,741,34393,0.491868461,122857
Non-binary,Master's,Home,Employed,Fair,Oman,Medium,55,80491,687,13825,0.490007136,175580
Non-binary,PhD,Personal,Employed,Fair,Burkina Faso,Low,29,49583,708.2,47032,0.459146004,128126
Female,Master's,Auto,Unemployed,Fair,Poland,High,23,98191,664,43458,0.343376389,170724
Non-binary,Bachelor's,Business,Self-employed,Good,Wallis and Futuna,Low,46,70507.2,690,7666,0.522100495,231130
Male,Bachelor's,Auto,Unemployed,Poor,Poland,Low,36,75188,625,16018,0.390231693,32140
Non-binary,Bachelor's,Home,Employed,Excellent,Maldives,Medium,31,63855.2,633,5879,0.306993076,282730
Male,PhD,Business,Employed,Poor,South Georgia and the South Sandwich Islands,Low,43,83528,612,29889,0.191655372,149180
Non-binary,Bachelor's,Auto,Employed,Excellent,Brunei Darussalam,High,41,30273,766,34804,0.264730073,257848
Male,Bachelor's,Auto,Self-employed,Fair,Armenia,Low,36,119656,710,39405,0.570230097,216575
Male,Master's,Personal,Employed,Poor,Nicaragua,Low,26,57682,778,31581,0.298956575,195709
Male,PhD,Auto,Self-employed,Poor,Suriname,High,39,45390,705,10183,0.156348526,121494
Non-binary,PhD,Personal,Employed,Fair,Yemen,Low,20,101541,626,5982,0.174959901,111917
Non-binary,High School,Auto,Self-employed,Excellent,Cameroon,Low,21,56761.2,714,33269,0.422690669,209945
Female,High School,Business,Unemployed,Good,Bermuda,Low,69,111414,788,44552,0.262514049,70257
Female,Bachelor's,Personal,Unemployed,Good,Latvia,Low,24,79687,682,32172.4,0.366727084,32833
Non-binary,High School,Auto,Unemployed,Good,Bhutan,Low,30,32303,721.4,34491,0.531965887,120139
Female,Bachelor's,Auto,Unemployed,Excellent,New Caledonia,Low,37,43412,681,12094,0.373730635,200791
Non-binary,Bachelor's,Home,Employed,Good,Somalia,Low,24,60725,729,9986,0.125605896,29279
Female,Bachelor's,Home,Self-employed,Fair,Spain,Low,66,84876.6,786,29993.6,0.17935612,103546
Female,High School,Auto,Employed,Excellent,Tunisia,Low,39,106366,759,12011,0.298487988,47475
Female,High School,Home,Unemployed,Fair,Tokelau,High,58,91416.4,735,27943,0.321040349,70560
Female,Bachelor's,Personal,Employed,Poor,Rwanda,Low,53,78434,636,27482,0.45252798,231512
Female,Master's,Home,Self-employed,Poor,Heard Island and McDonald Islands,Medium,41,21132,714,5042,0.153871239,197553
Non-binary,Bachelor's,Auto,Unemployed,Poor,Kyrgyz Republic,Low,39,30967,622,46590,0.483428947,289035
Female,PhD,Home,Employed,Excellent,Saint Vincent and the Grenadines,Low,62,48605,763,31822,0.494836192,82501
Non-binary,Master's,Auto,Employed,Fair,El Salvador,Medium,18,76551.4,682.2,16881,0.581431197,259648
Non-binary,High School,Home,Employed,Excellent,Senegal,Low,69,109117,738,24472,0.119273736,140810.4
Female,High School,Personal,Self-employed,Good,Guadeloupe,Low,56,47086,613,8262,0.447785318,128087
Female,High School,Business,Employed,Good,Tuvalu,Low,38,109460,799,48336,0.162978818,102239
Female,Master's,Business,Employed,Fair,Yemen,Low,61,106130,613,8410,0.101525633,174888.8
Male,Master's,Home,Self-employed,Fair,Finland,Low,37,74754,602,16591,0.195917002,243569
Female,Bachelor's,Business,Unemployed,Good,Mauritania,Medium,61,48401,796,44474,0.335268429,168514.2
Male,Master's,Home,Employed,Good,Chile,Medium,57,87615.2,680,31106,0.340437627,258332
Female,Bachelor's,Personal,Employed,Good,French Southern Territories,High,60,97696.2,762,10291,0.588118006,66451
Non-binary,High School,Auto,Unemployed,Excellent,French Guiana,Low,60,105365,698.8,45588,0.559284594,223081
Female,PhD,Personal,Unemployed,Good,Burundi,Low,63,80667.2,731,47436,0.245606327,268859
Female,PhD,Business,Unemployed,Poor,Angola,Low,37,52795,679,21659,0.233276948,116944
Non-binary,Master's,Home,Self-employed,Excellent,Tunisia,Medium,25,47946,614,22397,0.271006785,74800
Male,High School,Personal,Self-employed,Good,Bolivia,Low,18,69671,676,12337,0.211036947,227807
Female,Bachelor's,Auto,Self-employed,Excellent,Heard Island and McDonald Islands,Medium,34,36220,642,13855,0.5721808,33193
Male,High School,Home,Self-employed,Fair,Gambia,Low,19,119074,652,10033,0.57643071,277813
Non-binary,High School,Home,Unemployed,Poor,Liberia,Medium,42,82827,740,16653,0.534757083,135396
Male,Master's,Auto,Self-employed,Good,Slovenia,Low,19,97124,760,6231,0.406787292,38253
Non-binary,Bachelor's,Business,Self-employed,Good,Azerbaijan,Low,55,43618,733,29234,0.549701642,271910
Female,Master's,Business,Unemployed,Fair,Micronesia,Medium,22,56007,690,23719,0.13378662,124677
Male,Master's,Auto,Self-employed,Good,Angola,High,28,97568,672.8,32217,0.131892882,154423
Female,Bachelor's,Personal,Employed,Fair,Isle of Man,Medium,47,91386,711,39372,0.501653874,207638
Non-binary,PhD,Business,Employed,Good,Turks and Caicos Islands,Medium,42,67543.8,652,42997,0.119327784,165346
Male,Bachelor's,Home,Unemployed,Poor,Nigeria,Low,61,63148,788,16297,0.503501022,150940
Female,Master's,Home,Unemployed,Poor,Bulgaria,Low,23,116819,656,19526,0.569921553,90545
Non-binary,Bachelor's,Home,Self-employed,Good,Benin,Low,20,66972,759,10566,0.232247749,142141
Male,High School,Personal,Self-employed,Fair,Dominica,High,60,82243,645,20913,0.577866472,174664.8
Non-binary,High School,Home,Employed,Good,Bhutan,Medium,68,40526,751,38044,0.187608139,33907
Female,High School,Home,Unemployed,Poor,Svalbard & Jan Mayen Islands,Low,34,71458.2,671,34194,0.17386584,120855
Male,PhD,Personal,Employed,Good,Montserrat,Medium,34,26088,645,30275,0.259896515,170650
Non-binary,PhD,Personal,Self-employed,Poor,Chile,Medium,24,107694,704.2,17378,0.511266831,176811
Female,Bachelor's,Personal,Employed,Excellent,Greenland,Low,68,55779,675,24200.2,0.256510821,153364
Non-binary,Master's,Personal,Employed,Excellent,Mozambique,Medium,50,42628,787,16053,0.185966542,170568
Female,Bachelor's,Business,Self-employed,Fair,Thailand,Low,51,103512,715.6,47525,0.300799055,87564
Female,Bachelor's,Business,Self-employed,Excellent,Martinique,Medium,49,66462.4,795,38304,0.35305708,34942
Female,Master's,Personal,Self-employed,Poor,Fiji,Low,51,75082.8,605,46503,0.256102372,188643
Male,Master's,Auto,Unemployed,Fair,Costa Rica,Medium,36,83137.4,721,15027,0.177117504,102010.2
Male,PhD,Business,Employed,Fair,Iraq,Medium,24,118557,740,43862,0.424401538,90121
Female,High School,Personal,Employed,Poor,Finland,Low,52,28076,731.4,31876,0.434240896,259233
Male,Bachelor's,Home,Employed,Fair,Cook Islands,Medium,58,92014.8,759,8823,0.569397146,211604
Female,PhD,Personal,Unemployed,Fair,Saint Martin,Low,62,42102,692,31395,0.115390609,180167
Male,Master's,Personal,Self-employed,Good,Singapore,Low,54,58892,708,34750,0.452117584,164964
Male,High School,Personal,Unemployed,Fair,Lesotho,Low,25,99118,707,26978.4,0.56430272,100598
Non-binary,Bachelor's,Home,Self-employed,Fair,Slovakia (Slovak Republic),Low,36,48572,634,47431,0.3715031,140452
Male,PhD,Auto,Self-employed,Good,British Indian Ocean Territory (Chagos Archipelago),Low,56,37352,704,32211,0.206285853,117286
Male,Master's,Personal,Employed,Fair,Trinidad and Tobago,Low,26,60430,727,18251,0.308930174,39568
Male,PhD,Business,Self-employed,Fair,Cambodia,Low,67,46709,676.2,48898,0.14196953,131826
Male,Master's,Personal,Self-employed,Excellent,New Caledonia,Medium,49,85869,665,22591.2,0.534983346,160595.4
Non-binary,Master's,Auto,Unemployed,Good,Ethiopia,Medium,18,47832.8,727,32029,0.544491051,117342
Male,High School,Personal,Unemployed,Fair,Kuwait,Low,40,24257,795,16183,0.546459504,267669
Male,Bachelor's,Home,Employed,Fair,Andorra,Low,52,51261,646,40691,0.402442804,87012
Non-binary,Bachelor's,Business,Self-employed,Excellent,Maldives,Low,48,100039,699,5051,0.57713836,236823
Non-binary,Bachelor's,Auto,Employed,Good,Albania,Low,40,20944,770,21466,0.213690362,55594
Female,PhD,Personal,Self-employed,Excellent,British Indian Ocean Territory (Chagos Archipelago),Low,43,85402,765,42972,0.350979216,103020
Female,Master's,Business,Self-employed,Good,Solomon Islands,Low,59,89843,671,29596.8,0.127778141,258133
Male,Bachelor's,Home,Employed,Excellent,Zimbabwe,Medium,33,44544,744,21875.2,0.130430541,103094
Male,Bachelor's,Home,Self-employed,Fair,Saint Vincent and the Grenadines,Medium,51,109640,799,17603.6,0.146017509,243003
Male,PhD,Business,Employed,Poor,Ireland,Medium,51,76690,787,23040.8,0.472806103,229908
Male,High School,Business,Self-employed,Good,Mongolia,Low,37,108378,665,26722,0.466054498,229997
Female,Master's,Personal,Unemployed,Fair,South Africa,Medium,65,84252.2,704,28000,0.351900786,209718
Non-binary,PhD,Home,Self-employed,Good,French Guiana,Medium,50,49949,672,34045,0.522410027,294278
Male,High School,Auto,Self-employed,Poor,Oman,Low,34,58614.6,697,29211.4,0.15606194,182016
Male,Master's,Business,Employed,Fair,Vanuatu,Low,32,34990,758,38039,0.190091102,124758
Non-binary,Bachelor's,Personal,Unemployed,Excellent,Montserrat,Medium,41,70234.8,692.8,27558,0.257438289,65888
Female,PhD,Auto,Self-employed,Good,Liechtenstein,Medium,53,78900,790,44842,0.322034289,134863.2
Female,PhD,Home,Employed,Fair,Greenland,Low,23,84005,761,45900,0.359739336,198457
Male,Bachelor's,Business,Self-employed,Fair,Guinea-Bissau,Low,36,32453,785,41872,0.531500436,205871
Female,PhD,Business,Unemployed,Fair,Mongolia,Low,40,40491,702.8,26762,0.298722443,200916
Female,Master's,Business,Self-employed,Excellent,Antigua and Barbuda,Low,22,103422,772,46112,0.377660387,117469
Non-binary,Bachelor's,Personal,Employed,Good,Tajikistan,Low,42,62175.4,739,26460,0.177005005,129310
Non-binary,Master's,Home,Unemployed,Excellent,Mayotte,Low,34,51719.8,747,48511,0.22116941,237842
Male,Master's,Personal,Unemployed,Excellent,Lesotho,Low,29,53959,635,31090.4,0.170203782,191188.4
Male,Master's,Home,Self-employed,Excellent,Sao Tome and Principe,Low,59,54710,707,9213,0.582657359,187965.8
Non-binary,Master's,Auto,Self-employed,Excellent,Argentina,Low,37,46957,720,40738,0.315985946,248629
Female,Bachelor's,Home,Unemployed,Good,Bangladesh,Low,49,82982,606,43910,0.372755722,197015
Female,Bachelor's,Auto,Self-employed,Poor,Kiribati,Medium,61,28614,677,37315,0.20772223,106510
Non-binary,PhD,Home,Self-employed,Excellent,Sri Lanka,Low,38,73740,727,23831,0.209403826,71868
Non-binary,High School,Business,Self-employed,Good,Northern Mariana Islands,Low,30,94354,647,14245,0.586235555,137786.4
Female,PhD,Business,Unemployed,Poor,Libyan Arab Jamahiriya,Low,30,93644,647,37171.2,0.138569092,183874
Non-binary,Bachelor's,Home,Unemployed,Excellent,Finland,Medium,45,41432,693.2,36115,0.324408854,171010.8
Non-binary,Master's,Business,Employed,Good,Niger,Medium,36,108927,726,9576,0.3677454,193470
Non-binary,Bachelor's,Personal,Employed,Excellent,Uruguay,Low,34,64035,647,8849,0.300878562,205151
Female,Master's,Personal,Unemployed,Excellent,Swaziland,Low,18,36945.8,659,32309,0.514341879,141400
Female,PhD,Home,Unemployed,Excellent,Liberia,Medium,19,29741,769,29391,0.193507781,242824
Male,Bachelor's,Business,Employed,Fair,Central African Republic,Low,25,63381,746,44320,0.19579757,28410
Male,Bachelor's,Personal,Unemployed,Excellent,Montserrat,Low,24,85843,652.2,21651,0.438852325,267838
Non-binary,PhD,Business,Self-employed,Fair,Albania,Medium,39,35552,758,45332,0.569218259,150480
Non-binary,Master's,Auto,Employed,Fair,Sweden,Low,59,29589,757,42667,0.485965178,153668.8
Non-binary,High School,Auto,Employed,Fair,Brazil,Medium,36,74878,758,8866,0.16242998,106415
Non-binary,PhD,Home,Unemployed,Poor,India,Medium,23,99066,628,32935,0.189269581,213260
Male,High School,Home,Self-employed,Excellent,Micronesia,High,35,94891,625,31858,0.119599154,150719
Male,Bachelor's,Auto,Employed,Poor,Fiji,Low,53,22673,728,29195,0.377273091,187176.6
Female,PhD,Auto,Unemployed,Good,Saint Lucia,Medium,24,24318,602,36180,0.222837699,224104
Female,PhD,Personal,Unemployed,Excellent,French Guiana,Low,57,74638,780,45574,0.459939029,21339
Non-binary,Master's,Personal,Employed,Good,British Virgin Islands,Low,35,69711,644,18506.4,0.311241185,131354.2
Male,PhD,Business,Self-employed,Good,Hungary,High,42,75614,705,8529,0.327046608,43313
Female,High School,Home,Unemployed,Poor,Ethiopia,Low,66,96674,715,26882.8,0.376433059,160362
Male,Master's,Personal,Unemployed,Poor,Tajikistan,Low,20,80354.4,730,40607,0.26558492,177914
Male,High School,Home,Employed,Good,Palau,Medium,65,52483,684,44414,0.33256331,64295
Female,Bachelor's,Auto,Employed,Excellent,Taiwan,Medium,67,61420,747,8939,0.434107256,32010
Male,Bachelor's,Home,Employed,Excellent,Malta,Medium,44,100759,746,42618,0.23937447,67685
Female,High School,Business,Employed,Good,Argentina,Low,69,75965,766,35558,0.518411979,253238
Non-binary,Master's,Home,Employed,Good,British Indian Ocean Territory (Chagos Archipelago),High,45,99517,798,23932,0.439013361,212673
Female,High School,Auto,Unemployed,Poor,Dominican Republic,Medium,20,97818,723,27027,0.547728103,76534
Male,High School,Home,Unemployed,Good,Russian Federation,Medium,46,78396,697,12083,0.513367985,145711
Non-binary,High School,Business,Self-employed,Poor,Pakistan,Low,33,104834,720,31747,0.34171961,132855.4
Female,PhD,Home,Unemployed,Poor,Maldives,Low,65,77693.2,671.2,22192,0.236581294,128180
Male,High School,Home,Employed,Good,South Georgia and the South Sandwich Islands,Low,51,43301,650,24309.6,0.234566097,159926
Male,High School,Personal,Self-employed,Good,Martinique,Medium,59,41021,701,18173,0.158785512,186692
Female,Master's,Business,Employed,Fair,Switzerland,Low,47,79426,655,6908,0.103237839,279489
Non-binary,Master's,Personal,Employed,Fair,Croatia,Low,31,35749,634,33917,0.174881575,144908
Non-binary,High School,Personal,Employed,Fair,Cuba,Medium,33,114306,756,49245,0.476911759,163080
Female,Master's,Home,Employed,Good,Equatorial Guinea,Low,34,55732,637,21485,0.585344408,227750
Male,Master's,Personal,Self-employed,Excellent,Israel,Low,51,59228.6,727,29052.4,0.283387141,137866
Female,Bachelor's,Personal,Employed,Fair,Niue,Low,58,72509,641,33540,0.252319261,106550
Male,Bachelor's,Home,Employed,Excellent,Zambia,Low,30,78033,725,29841,0.424642875,283464
Male,Master's,Home,Unemployed,Poor,French Guiana,Low,19,36057,643.2,48540,0.415618135,66940
Male,Master's,Business,Unemployed,Fair,United States Minor Outlying Islands,High,19,54533,733,5206,0.373322697,259578
Male,Master's,Home,Employed,Good,Gibraltar,Medium,46,77942,700,42599,0.442425004,251706
Female,High School,Personal,Employed,Fair,Turks and Caicos Islands,Medium,34,70882.2,741,32810,0.359607298,243456
Male,PhD,Auto,Employed,Excellent,Philippines,Low,55,20420,758,44801,0.464276184,65367
Male,Bachelor's,Business,Unemployed,Good,Nepal,Low,60,57697,726.6,33618,0.241561291,49224
Non-binary,Bachelor's,Auto,Employed,Fair,Saint Lucia,Medium,50,74134.8,692,43983,0.471623926,43651
Female,High School,Business,Unemployed,Poor,Chile,Low,53,102667,721,38747,0.497675711,145180.2
Male,High School,Business,Employed,Good,Sudan,Low,53,113059,696.6,20377.6,0.16958605,279686
Male,Bachelor's,Home,Employed,Good,Guatemala,Low,32,118613,754,24975.6,0.274332918,141082
Female,Master's,Auto,Employed,Fair,Myanmar,Low,46,48793,761,29866,0.286441635,163527.2
Non-binary,High School,Business,Unemployed,Good,Guadeloupe,Low,46,59235,699.8,19403,0.518910734,150113
Male,Master's,Auto,Employed,Fair,Tuvalu,Low,66,107388,715,18604,0.423796039,254633
Non-binary,Bachelor's,Auto,Employed,Poor,Netherlands,Low,63,38782,706.6,13592,0.2784335,184093
Female,PhD,Home,Employed,Fair,South Georgia and the South Sandwich Islands,Medium,33,119895,757,24343,0.408990026,71440
Male,PhD,Business,Self-employed,Good,Micronesia,Low,27,70300,603,21696,0.41710822,167792
Male,Bachelor's,Personal,Employed,Poor,Iran,Low,25,22786,726,34178.4,0.268673625,177841
Female,Master's,Auto,Employed,Fair,Cocos (Keeling) Islands,Medium,32,62523,695.6,37617,0.194932143,187126
Non-binary,Bachelor's,Home,Unemployed,Good,Congo,Low,53,47494,600,48908,0.325346525,178006
Non-binary,Master's,Home,Employed,Fair,Holy See (Vatican City State),Low,57,87058,688,17971,0.120778647,211592
Non-binary,High School,Personal,Unemployed,Excellent,Seychelles,Medium,67,86809,678,6765,0.261507738,173261
Male,PhD,Personal,Unemployed,Excellent,El Salvador,Low,65,74606,797,48451,0.434608581,267235
Male,Bachelor's,Home,Self-employed,Excellent,Mexico,Medium,42,68339,762,29063.2,0.13106937,121121
Male,PhD,Business,Unemployed,Poor,Cook Islands,Low,21,45277,600,34824,0.435624773,246628
Non-binary,PhD,Business,Employed,Good,Benin,Medium,26,100642,764,34791.2,0.159351378,75965
Female,High School,Personal,Employed,Fair,Oman,Low,44,61596,717,29720,0.146445133,43670
Non-binary,Master's,Business,Unemployed,Excellent,Malawi,Low,40,50085,614,17809,0.172285935,222248
Male,Bachelor's,Business,Unemployed,Poor,Guinea,Low,22,67609.4,798,28049,0.117651352,248069
Male,Master's,Home,Employed,Fair,Sweden,Low,41,83594,621,34607,0.215470167,288867
Male,PhD,Personal,Self-employed,Good,North Macedonia,Low,23,99858,615,42987,0.340670237,111438
Female,PhD,Home,Employed,Excellent,France,Low,34,24752,797,46178,0.189779159,290387
Non-binary,Master's,Personal,Unemployed,Good,British Virgin Islands,Low,38,111104,648,18469,0.410485153,30551
Non-binary,PhD,Auto,Self-employed,Good,Colombia,Medium,19,115830,744,44238,0.219422935,137632
Non-binary,High School,Home,Unemployed,Fair,Nauru,Low,54,36693,693,24179,0.165947742,212641
Non-binary,Bachelor's,Home,Unemployed,Poor,French Southern Territories,Low,68,29984,683,27754.8,0.374803753,72377
Female,PhD,Auto,Employed,Good,Israel,Medium,26,95427,704.2,32011,0.491174584,110978
Non-binary,Master's,Business,Employed,Excellent,Dominican Republic,Low,40,22565,691,34849,0.58929599,86895.6
Female,High School,Business,Unemployed,Fair,Iceland,Low,46,60309,718,34668,0.563998043,146119
Female,PhD,Business,Self-employed,Fair,Falkland Islands (Malvinas),High,42,90942,646,30565,0.300793829,81812
Female,Bachelor's,Business,Self-employed,Good,Marshall Islands,Low,57,99239,777,11336,0.327058769,177538.8
Female,Master's,Business,Self-employed,Fair,Nigeria,Medium,21,32017,702,5622,0.204754159,202178
Male,PhD,Business,Self-employed,Poor,New Zealand,Medium,66,84997,722,45316,0.487995143,215865
Female,Master's,Home,Self-employed,Excellent,Tajikistan,Low,39,101251,678,28385,0.280280633,180259
Non-binary,High School,Home,Self-employed,Excellent,Myanmar,Low,43,99697,693,24138.8,0.367467068,193334
Non-binary,Master's,Personal,Unemployed,Excellent,Sao Tome and Principe,Medium,52,84586,658,8044,0.52929981,164099
Female,PhD,Home,Self-employed,Good,Cayman Islands,Medium,29,69240,757,23932,0.559858083,99021.4
Male,High School,Auto,Employed,Good,Moldova,Low,38,89770,654,39819,0.591184933,76930.4
Male,High School,Business,Unemployed,Excellent,Guinea,Medium,29,99721,692,34897,0.121295985,68376
Non-binary,PhD,Personal,Self-employed,Good,United States Virgin Islands,Medium,30,98538,696,22932,0.558182801,220231
Female,Master's,Home,Employed,Excellent,Denmark,Low,20,57429,673,12843,0.111063818,291250
Male,PhD,Business,Unemployed,Good,United Arab Emirates,Medium,53,41891,686,49896,0.459442852,298836
Female,High School,Business,Employed,Poor,Saint Vincent and the Grenadines,High,37,44409,752,13157,0.449605397,114002
Female,PhD,Personal,Unemployed,Fair,Kazakhstan,Low,56,72284,734,20058,0.399343319,96572
Male,High School,Auto,Self-employed,Fair,Trinidad and Tobago,Low,40,69272.6,669.6,15952,0.114726526,158640
Female,High School,Personal,Unemployed,Poor,Sri Lanka,Low,45,21067,676,39155,0.34808485,286987
Non-binary,Master's,Business,Self-employed,Fair,Macao,Medium,50,74105.2,622,10520,0.420214323,264309
Non-binary,Bachelor's,Auto,Self-employed,Fair,Canada,Low,44,76751,626,14198,0.264702471,240416
Female,Master's,Auto,Employed,Fair,Burundi,Medium,42,24753,608,35249,0.584260465,77453
Female,High School,Business,Employed,Fair,Bahrain,Low,33,79760.2,661,27882.4,0.16481602,158160
Non-binary,Bachelor's,Home,Unemployed,Poor,Saint Helena,Low,42,85020,648,35493,0.367632435,190654
Female,Bachelor's,Business,Employed,Good,India,Medium,32,54684,671,37649,0.14607645,192752
Male,Bachelor's,Business,Self-employed,Excellent,Singapore,Low,25,106450,630,44580,0.437649631,178430
Non-binary,PhD,Home,Self-employed,Good,Algeria,Low,31,70357,627,31333,0.261899464,138767.6
Female,PhD,Business,Unemployed,Good,Kuwait,Medium,34,90585,689.2,39820,0.290177704,94587
Female,Bachelor's,Auto,Self-employed,Excellent,Mali,Low,30,81273,719,45326,0.271724812,45797
Male,Bachelor's,Personal,Unemployed,Good,Cook Islands,Low,36,110141,760,15198,0.402346133,135329
Non-binary,Bachelor's,Business,Self-employed,Good,Guatemala,Medium,58,112270,770,35434,0.436880221,47254
Male,High School,Auto,Employed,Fair,Saint Martin,Low,42,116766,643,34966,0.476048751,168738
Female,PhD,Business,Employed,Excellent,Armenia,Low,54,97857,647,31619,0.167309488,192176
Non-binary,Master's,Home,Employed,Excellent,United States Virgin Islands,Low,20,66616.2,703.8,23227.4,0.516473532,31763
Non-binary,Bachelor's,Auto,Unemployed,Fair,Italy,Low,65,21436,769,15086,0.43669568,167583
Female,Bachelor's,Personal,Unemployed,Fair,Tokelau,Medium,28,44236,650,46203,0.370596922,44381
Male,PhD,Home,Self-employed,Poor,Zambia,Low,38,99538,601,36207,0.480037401,72116
Female,High School,Personal,Employed,Good,Timor-Leste,Low,38,22589,698,23239,0.283854513,173475
Female,PhD,Home,Self-employed,Fair,Norway,Low,43,64779.4,620,21154,0.343913654,152525.8
Non-binary,Bachelor's,Auto,Self-employed,Poor,Netherlands,Low,23,117046,700.8,45724,0.354607219,117587.2
Female,High School,Personal,Self-employed,Fair,Czech Republic,Low,63,119054,639,37515,0.595691386,147099.2
Male,Bachelor's,Business,Unemployed,Good,Andorra,Low,33,106643,679,25855,0.260400949,44793
Female,Master's,Auto,Employed,Fair,Monaco,Low,62,104225,670.2,33497.6,0.22988889,293639
Female,High School,Home,Employed,Good,Kyrgyz Republic,Low,18,91520,742,27104,0.530425053,284466
Non-binary,PhD,Auto,Unemployed,Good,Barbados,Low,31,60449,634,15798,0.265204007,152431.8
Female,Bachelor's,Auto,Employed,Poor,Maldives,Low,69,76289,739,41792,0.257268522,139190
Non-binary,PhD,Personal,Self-employed,Fair,Oman,Low,19,47256,633,25232,0.240013436,191678
Male,PhD,Business,Unemployed,Poor,Fiji,Medium,36,33262,705,22871,0.293811993,213098
Female,High School,Auto,Unemployed,Fair,Nauru,High,45,57823.8,781,19640,0.157222368,278627
Male,High School,Home,Self-employed,Good,Tajikistan,Low,21,37221,799,31733,0.530664676,161043
Female,PhD,Business,Self-employed,Poor,Swaziland,Low,56,107777,740,22197.4,0.46187079,47017
Male,PhD,Personal,Self-employed,Excellent,Gambia,Low,64,64890.6,645,9277,0.170977859,157070
Female,Master's,Auto,Self-employed,Excellent,Norway,Low,31,64510.6,734.6,10830,0.389620782,116495
Female,Master's,Home,Employed,Good,American Samoa,Medium,45,90904,702.6,26523,0.415766565,163978
Male,Master's,Business,Unemployed,Fair,Niue,Medium,29,49619,697,9994,0.468329956,174044
Female,Master's,Home,Self-employed,Good,Taiwan,Low,33,100730,708.2,33209,0.222056821,272541
Male,High School,Personal,Unemployed,Excellent,Cambodia,Low,23,33336,677,16780,0.147352195,286110
Male,Bachelor's,Home,Self-employed,Fair,El Salvador,Medium,27,29872,779,43783,0.314394804,265415
Male,Master's,Business,Self-employed,Fair,Latvia,Medium,33,76868,767,26008,0.385705338,178381
Male,Bachelor's,Business,Unemployed,Poor,Nauru,Low,46,110091,703,38993,0.250111043,116597
Non-binary,Bachelor's,Personal,Employed,Good,Albania,Low,27,65891,709,42301,0.467234991,160651
Female,PhD,Business,Self-employed,Good,Bangladesh,Low,36,63201,749,42069,0.563898286,211017
Male,High School,Personal,Employed,Good,Aruba,Low,19,103457,632,20115,0.342283204,117785.2
Female,High School,Auto,Self-employed,Poor,Israel,Low,19,54640,645.8,44379,0.560365854,288802
Non-binary,Bachelor's,Auto,Employed,Fair,Bolivia,Medium,58,100598,709,37001,0.369979426,181774
Female,High School,Auto,Employed,Poor,Taiwan,Low,54,29275,601,32337,0.59126685,261487
Non-binary,Master's,Personal,Employed,Good,Sri Lanka,Low,40,73520,799,43171,0.14786482,235764
Female,Master's,Personal,Self-employed,Excellent,British Virgin Islands,Medium,19,61319,704,20416.4,0.588417834,280237
Non-binary,PhD,Personal,Self-employed,Excellent,New Caledonia,Medium,24,104752,723,31878.2,0.536795552,72468
Male,High School,Auto,Unemployed,Excellent,Somalia,High,59,31233,699,45303,0.425781521,196991
Male,High School,Auto,Self-employed,Poor,Sao Tome and Principe,Medium,31,29705,714,17002,0.407486743,134337
Male,High School,Home,Employed,Poor,Swaziland,Low,57,99510.8,756,33936,0.429353872,200433
Female,Master's,Auto,Self-employed,Fair,Tajikistan,Low,25,24743,637,49641,0.410997137,167243.2
Non-binary,Bachelor's,Business,Unemployed,Good,India,Low,55,109523,767,16018,0.530943591,62508
Female,High School,Home,Employed,Poor,Panama,Medium,29,65938,781,34752,0.371340224,99021.4
Male,High School,Auto,Self-employed,Excellent,Croatia,Low,38,85263,711,49562,0.243333561,78197
Male,Master's,Personal,Unemployed,Excellent,South Georgia and the South Sandwich Islands,Low,35,100691,754,23477,0.397489811,286558
Non-binary,PhD,Auto,Self-employed,Fair,Lithuania,Low,24,26490,700,41963,0.56344641,208578
Female,Bachelor's,Auto,Unemployed,Excellent,Tajikistan,Low,52,111192,784,32419,0.420319785,41922
Non-binary,PhD,Business,Unemployed,Good,Monaco,Medium,62,29223,726,27993,0.318840932,163369.2
Female,Master's,Business,Unemployed,Good,Cook Islands,Medium,26,76364.8,795,23703.6,0.149661502,156556
Female,Master's,Auto,Employed,Excellent,Cocos (Keeling) Islands,Low,45,114369,633,34899,0.534082827,298956
Non-binary,Bachelor's,Home,Self-employed,Poor,Bermuda,Medium,37,88096,749,19155,0.528679303,61276
Non-binary,High School,Home,Unemployed,Fair,Poland,Medium,40,53945,738.4,13819,0.504380555,112823.4
Non-binary,Bachelor's,Personal,Self-employed,Good,Croatia,Low,21,112945,713,49676,0.472463067,240403
Male,High School,Auto,Self-employed,Good,Saint Barthelemy,Low,52,86332,614,34039,0.357426856,48358
Female,High School,Auto,Self-employed,Fair,Comoros,Low,57,92969,721,36036,0.175542635,253728
